time,latitude,longitude,mag
2021-04-21T07:58:12.837Z,31.71967735,-104.5746591,3
2021-04-24T16:02:45.190Z,31.65368066,-104.3126386,3
2021-04-26T22:40:36.329Z,31.66432549,-104.2998062,3
2021-04-28T05:51:09.560Z,32.71636963,-100.6829983,3
2021-04-29T22:19:30.630Z,31.65554085,-104.3088861,3
2021-05-06T13:04:24.596Z,39.7349,-98.0177,3
2021-05-08T16:26:01.073Z,31.67078888,-104.3340399,3
2021-04-25T12:29:54.600Z,37.8033333,-113.0308333,2.99
2021-04-21T03:55:27.800Z,36.8303333,-121.566,2.97
2021-04-10T11:50:14.080Z,37.582,-121.6751667,2.93
2021-04-25T15:44:58.930Z,39.1293333,-120.032,2.92
2021-05-04T14:16:22.590Z,31.2985,-115.6463333,2.91
2021-04-09T02:07:01.240Z,40.2946667,-124.5795,2.9
2021-04-13T08:22:02.864Z,44.1258,-115.0794,2.9
2021-04-18T04:53:57.160Z,38.152,-117.8738,2.9
2021-04-19T09:59:39.113Z,31.67232759,-104.3825011,2.9
2021-04-23T21:15:55.142Z,39.6266,-98.5128,2.9
2021-04-28T01:50:41.154Z,31.14244762,-103.1930379,2.9
2021-04-28T22:09:00.341Z,38.1747,-116.7267,2.9
2021-04-30T02:14:52.240Z,41.1641667,-111.6746667,2.9
2021-04-09T03:57:13.020Z,32.7825,-115.4381667,2.87
2021-04-20T05:07:51.620Z,37.5481667,-118.7781667,2.87
2021-04-26T02:00:47.030Z,31.4816667,-115.6171667,2.86
2021-04-17T19:35:08.280Z,40.113,-123.0433333,2.85
2021-04-09T03:31:46.760Z,32.776,-115.4355,2.84
2021-05-04T07:37:40.380Z,40.852,-124.2635,2.84
2021-05-05T13:06:28.850Z,39.3763333,-123.2616667,2.82
2021-04-20T04:25:20.820Z,39.5111667,-122.0193333,2.81
2021-04-23T00:08:08.160Z,38.7745,-122.707,2.81
2021-04-27T17:47:22.280Z,35.9741667,-120.5278333,2.81
2021-04-10T07:38:15.790Z,47.46016667,-121.5968333,2.8
2021-04-11T03:02:03.694Z,39.2863,-106.7754,2.8
2021-04-13T08:39:55.146Z,44.1245,-115.0952,2.8
2021-04-18T04:33:06.656Z,31.66435009,-104.2955002,2.8
2021-04-24T03:35:22.290Z,38.1797,-117.8668,2.8
2021-04-24T11:52:16.976Z,31.73287393,-104.1005077,2.8
2021-04-24T18:02:11.700Z,36.7716667,-121.4945,2.8
2021-04-25T06:30:40.145Z,31.59750289,-104.5647238,2.8
2021-04-27T13:06:07.204Z,31.68061916,-104.1723442,2.8
2021-04-28T06:30:47.768Z,32.70904541,-100.6829983,2.8
2021-04-30T02:46:45.475Z,31.72574716,-104.5324426,2.8
2021-05-07T14:13:54.641Z,28.43353271,-100.123966,2.8
2021-05-05T22:14:56.980Z,34.0363333,-116.6355,2.78
2021-04-25T15:35:48.970Z,39.1268333,-120.0295,2.77
2021-04-13T14:25:52.650Z,37.569,-118.824,2.76
2021-04-28T07:18:37.290Z,37.8456667,-122.235,2.76
2021-04-30T14:59:35.170Z,38.8113333,-122.7971667,2.76
2021-05-04T21:38:50.160Z,40.4223333,-124.6793333,2.76
2021-05-05T09:55:21.870Z,36.5573333,-117.9991667,2.76
2021-04-09T03:57:58.930Z,32.7803333,-115.4328333,2.75
2021-04-19T02:21:39.530Z,38.8276667,-122.8046667,2.75
2021-04-26T07:50:47.700Z,48.60066667,-121.9363333,2.75
2021-04-16T09:35:58.710Z,38.7711667,-122.7203333,2.74
2021-05-06T17:32:59.060Z,35.6428333,-117.4543333,2.74
2021-05-01T18:26:24.170Z,39.7535,-121.8401667,2.73
2021-04-17T16:29:21.230Z,40.1228333,-123.0365,2.71
2021-04-10T16:07:38.977Z,29.18243408,-97.60098805,2.7
2021-04-10T23:57:22.072Z,36.3017,-114.2838,2.7
2021-04-12T17:59:58.564Z,31.67503677,-104.3900617,2.7
2021-04-14T14:55:08.729Z,31.71820288,-104.5272472,2.7
2021-04-14T23:57:53.977Z,35.85388184,-101.004357,2.7
2021-04-17T02:12:51.340Z,32.6258,-109.1551,2.7
2021-04-20T13:12:44.973Z,44.3145,-115.0639,2.7
2021-04-24T05:34:48.490Z,38.0696678,-118.694664,2.7
2021-04-25T09:42:39.343Z,44.2811,-115.0447,2.7
2021-05-05T18:33:16.033Z,38.1275,-117.9813,2.7
2021-05-08T02:45:59.744Z,39.7193,-98.3833,2.7
2021-05-08T09:21:59.400Z,44.5384,-115.2512,2.7
2021-04-20T07:03:37.550Z,34.045,-117.21,2.69
2021-04-29T14:08:39.830Z,38.8075,-122.7908333,2.69
2021-04-20T14:08:45.200Z,40.3115,-124.4998333,2.66
2021-04-25T17:22:51.030Z,44.4466667,-115.2145,2.66
2021-04-18T23:46:14.620Z,40.4441667,-124.7116667,2.65
2021-05-05T14:58:49.970Z,36.197,-120.3108333,2.65
2021-04-30T21:35:43.520Z,34.0446667,-117.0455,2.64
2021-04-11T22:03:29.160Z,38.8256667,-122.8135,2.63
2021-04-22T04:55:18.620Z,37.6901667,-119.4183333,2.63
2021-05-03T21:52:08.580Z,37.4921667,-119.3746667,2.63
2021-05-07T07:27:01.800Z,36.1253319,-120.7001648,2.63
2021-04-12T22:05:43.280Z,36.29733333,-98.17833333,2.62
2021-04-13T14:35:26.570Z,36.363,-97.35983333,2.62
2021-04-19T19:01:56.950Z,49.915,-114.9563333,2.62
2021-04-24T04:21:42.730Z,38.768,-122.724,2.62
2021-04-13T22:05:32.100Z,33.8078333,-116.0885,2.61
2021-04-14T04:39:53.970Z,40.404,-124.6193333,2.61
2021-04-15T23:16:19.070Z,36.477,-117.5191667,2.61
2021-04-26T12:18:34.790Z,39.7013333,-123.4526667,2.61
