time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-08T02:29:21.909Z,-21.8887,-67.5035,231.77,4.6,mb,,74,1.229,0.92,us,us7000e18h,2021-05-08T02:44:55.040Z,"134 km NNE of San Pedro de Atacama, Chile",earthquake,5.2,8.4,0.172,11,reviewed,us,us
2021-05-09T09:42:47.689Z,-10.9145,114.9245,10,4.6,mb,,112,2.545,0.93,us,us7000e1jn,2021-05-09T10:00:08.040Z,"236 km S of Nusa Dua, Indonesia",earthquake,8.1,1.9,0.1,30,reviewed,us,us
2021-05-03T07:46:55.463Z,-16.4885,-174.354,177.05,4.5,mb,,89,3.569,0.58,us,us7000dzmz,2021-05-03T08:15:23.040Z,"83 km SW of Hihifo, Tonga",earthquake,11.8,7.4,0.038,207,reviewed,us,us
2021-05-03T13:58:10.741Z,-14.4073,167.3736,182.15,4.5,mb,,80,1.046,0.62,us,us7000dzpt,2021-05-03T14:32:57.040Z,"61 km SSW of Sola, Vanuatu",earthquake,11.4,3.4,0.077,49,reviewed,us,us
2021-05-03T15:19:58.115Z,53.7315,160.3482,80.84,4.5,mb,,155,1.24,0.5,us,us7000dzq0,2021-05-03T16:00:54.040Z,"136 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,11.2,8.5,0.052,111,reviewed,us,us
2021-05-03T19:13:39.018Z,38.4469,73.5005,114.56,4.5,mb,,100,1.678,0.63,us,us7000dzsf,2021-05-03T19:34:25.031Z,"51 km NW of Murghob, Tajikistan",earthquake,8.2,9.9,0.113,23,reviewed,us,us
2021-05-04T19:50:22.686Z,0.4531,126.2206,39.83,4.5,mb,,58,1.189,0.9,us,us7000e04p,2021-05-04T21:52:01.040Z,"134 km WSW of Ternate, Indonesia",earthquake,6.1,8.1,0.106,30,reviewed,us,us
2021-05-05T07:47:11.795Z,-8.0667,-74.4735,154.54,4.5,mb,,113,1.783,0.81,us,us7000e09u,2021-05-05T08:50:01.040Z,"35 km NNE of Pucallpa, Peru",earthquake,9.1,8.3,0.084,41,reviewed,us,us
2021-05-05T17:15:49.992Z,52.2344,173.5307,35.61,4.5,mb,,124,0.605,0.8,us,us7000e0du,2021-05-05T21:19:11.040Z,"72 km SSE of Attu Station, Alaska",earthquake,8.7,8.3,0.045,148,reviewed,us,us
2021-05-06T07:07:18.480Z,42.6152,79.41,10,4.5,mb,,145,0.714,0.47,us,us7000e0k7,2021-05-06T08:02:57.541Z,"47 km SSE of Kegen, Kazakhstan",earthquake,2.9,1.8,0.115,22,reviewed,us,us
2021-05-06T13:17:10.256Z,5.3069,126.2939,58.61,4.5,mb,,116,4.63,1.06,us,us7000e0mr,2021-05-06T14:17:54.040Z,"92 km E of Sarangani, Philippines",earthquake,9.4,4.2,0.11,25,reviewed,us,us
2021-05-06T23:26:59.592Z,-18.7846,-177.3243,574.52,4.5,mb,,132,4.512,0.68,us,us7000e0uy,2021-05-07T00:01:19.040Z,Fiji region,earthquake,13.5,9.2,0.106,26,reviewed,us,us
2021-05-07T21:24:18.776Z,22.7945,120.8912,10,4.5,mb,,63,0.175,1.01,us,us7000e16a,2021-05-08T11:20:42.128Z,"57 km SE of Yujing, Taiwan",earthquake,5,1.6,0.066,68,reviewed,us,us
2021-05-08T00:38:16.083Z,50.629,154.5759,190.34,4.5,mb,,124,3.148,0.64,us,us7000e17m,2021-05-09T00:31:44.040Z,"109 km W of Severo-Kuril’sk, Russia",earthquake,9.4,6.8,0.044,149,reviewed,us,us
2021-05-08T08:38:39.526Z,8.6079,126.8073,10.83,4.5,mb,,126,1.953,0.65,us,us7000e1ag,2021-05-08T12:02:36.040Z,"58 km ENE of Hinatuan, Philippines",earthquake,11,6,0.108,25,reviewed,us,us
2021-05-09T01:30:09.601Z,-1.1686,10.0804,15.82,4.5,mb,,90,4.915,0.55,us,us7000e1gd,2021-05-09T06:01:04.780Z,"54 km SSW of Lambaréné, Gabon",earthquake,12.7,5.4,0.106,27,reviewed,us,us
2021-05-09T20:22:44.269Z,-4.873,153.5538,62.69,4.5,mb,,130,1.542,0.62,us,us7000e1mm,2021-05-09T20:40:53.040Z,"154 km ESE of Kokopo, Papua New Guinea",earthquake,9.4,5.1,0.115,22,reviewed,us,us
2021-05-10T00:39:52.930Z,43.903,146.7272,84.78,4.5,mb,,136,2.99,0.43,us,us7000e1p5,2021-05-10T01:06:20.040Z,"11 km N of Shikotan, Russia",earthquake,9.3,8.3,0.061,78,reviewed,us,us
2021-05-03T04:42:30.671Z,-18.0366,-178.3856,590.27,4.4,mb,,141,3.403,0.83,us,us7000dzm7,2021-05-03T05:18:19.040Z,"243 km E of Levuka, Fiji",earthquake,15.8,9.2,0.071,56,reviewed,us,us
2021-05-04T15:02:02.384Z,34.0209,25.664,10,4.4,mb,,127,1.416,0.5,us,us7000e00l,2021-05-04T15:36:12.040Z,"109 km S of Néa Anatolí, Greece",earthquake,3.5,1.9,0.094,35,reviewed,us,us
2021-05-04T19:54:31.405Z,-22.4918,-67.7082,193.77,4.4,mb,,110,0.631,1.01,us,us7000e04n,2021-05-05T03:29:58.894Z,"68 km NE of San Pedro de Atacama, Chile",earthquake,8.1,11.6,0.267,4,reviewed,us,us
2021-05-05T23:40:34.510Z,36.3578,27.6461,84.53,4.4,mb,,81,0.409,1.1,us,us7000e0hk,2021-05-06T08:12:00.978Z,"23 km NW of Émponas, Greece",earthquake,6.2,8,0.078,47,reviewed,us,us
