time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-25T04:59:28.510Z,37.267,-121.6395,7.66,3.61,mw,183,33,0.07455,0.09,nc,nc73554215,2021-05-06T02:54:06.073Z,"15km N of Morgan Hill, CA",earthquake,0.08,0.2,,3,reviewed,nc,nc
2021-04-13T21:35:03.940Z,33.8063333,-116.0878333,3.03,3.54,ml,127,38,0.1117,0.16,ci,ci39849144,2021-04-18T22:36:18.514Z,"15km NE of Indio, CA",earthquake,0.09,0.31,0.133,303,reviewed,ci,ci
2021-04-16T04:09:45.220Z,40.4035,-124.4525,20.17,3.54,mw,22,240,0.1135,0.14,nc,nc73550055,2021-04-19T07:50:36.237Z,"17km WNW of Petrolia, CA",earthquake,0.64,0.35,,4,reviewed,nc,nc
2021-04-17T11:48:50.775Z,36.655,-116.2676,8.4,3.5,ml,40,34.24,0.079,0.1451,nn,nn00805234,2021-04-18T11:50:27.139Z,"52 km ESE of Beatty, Nevada",earthquake,,0.9,0.37,21,reviewed,nn,nn
2021-04-25T10:23:21.682Z,44.2,-114.9781,3.18,3.5,ml,,71,0.008,0.98,us,us6000e4ly,2021-04-27T15:50:39.295Z,"3 km WSW of Stanley, Idaho",earthquake,1.8,2.8,0.034,116,reviewed,us,us
2021-04-28T02:10:42.041Z,31.72542813,-104.5739138,6.74855957,3.5,ml,41,81,0.057697455,0.3,tx,tx2021ifye,2021-04-29T02:13:13.879Z,"53 km SSW of Whites City, New Mexico",earthquake,1.480207784,0.79645475,0.1,22,reviewed,tx,tx
2021-04-19T22:11:35.479Z,34.97366667,-97.69483333,11.4,3.47,ml,101,34,0,0.21,ok,ok2021hrag,2021-04-26T01:28:50.869Z,"8 km SW of Dibble, Oklahoma",earthquake,,0.7,0.21,35,reviewed,ok,ok
2021-04-28T10:50:21.900Z,33.1628333,-116.3816667,7.33,3.45,mw,134,16,0.09761,0.21,ci,ci39632647,2021-05-03T20:47:35.897Z,"10km S of Borrego Springs, CA",earthquake,0.1,0.47,,4,reviewed,ci,ci
2021-05-09T01:55:40.450Z,33.8448333,-118.4446667,14.5,3.45,mlr,114,122,0.09724,0.27,ci,ci39645599,2021-05-09T03:42:50.399Z,"5km WSW of Hermosa Beach, CA",earthquake,0.28,0.42,0.145,291,reviewed,ci,ci
2021-04-10T13:22:06.120Z,32.7705,-115.4393333,15.63,3.44,ml,80,34,0.03529,0.32,ci,ci39845832,2021-05-03T18:58:35.651Z,"7km SW of Holtville, CA",earthquake,0.24,0.41,0.114,191,reviewed,ci,ci
2021-04-09T05:19:50.527Z,41.3251,-116.1724,12,3.4,ml,8,168.34,0.344,0.1706,nn,nn00804674,2021-04-22T09:32:11.040Z,"61 km NW of Osino, Nevada",earthquake,,1.7,0.08,7,reviewed,nn,nn
2021-04-10T05:49:06.466Z,29.18060303,-97.60512408,4.573038737,3.4,ml,31,54,0.031643047,0.3,tx,tx2021gzii,2021-04-25T05:14:48.040Z,"10 km SSE of Smiley, Texas",earthquake,1.141008282,1.627760706,0.2,18,reviewed,tx,tx
2021-05-03T10:46:54.211Z,31.70002186,-104.150933,7.314135742,3.4,ml,23,48,0.107561832,0.2,tx,tx2021ipss,2021-05-04T10:49:25.041Z,"52 km W of Mentone, Texas",earthquake,0.905920094,1.098790369,0.1,10,reviewed,tx,tx
2021-05-04T12:36:14.340Z,36.7290001,-120.9735031,0.63,3.38,ml,52,143,0.1593,0.22,nc,nc73557990,2021-05-07T04:58:25.519Z,"27km NE of Pinnacles, CA",earthquake,0.39,6.79,0.236,23,automatic,nc,nc
2021-04-09T14:49:16.332Z,36.2538,-106.7948,5.4,3.3,ml,,137,1.333,0.23,us,us6000e0dj,2021-05-02T13:38:10.040Z,"2 km NNE of Capulin, New Mexico",earthquake,2.5,6,0.039,85,reviewed,us,us
2021-04-10T14:13:21.940Z,38.5226667,-122.5848333,9.14,3.26,ml,113,46,0.09054,0.16,nc,nc73547645,2021-05-02T13:52:11.040Z,"6km S of Calistoga, CA",earthquake,0.16,0.33,0.228,80,reviewed,nc,nc
2021-04-15T14:26:39.469Z,34.98483333,-97.68016667,11.14,3.26,ml,90,34,0,0.29,ok,ok2021hjcx,2021-05-02T16:06:39.844Z,"7 km SW of Dibble, Oklahoma",earthquake,,1,0.24,41,reviewed,ok,ok
2021-05-07T04:26:31.810Z,39.4593315,-120.3143311,8.63,3.24,ml,20,65,0.2112,0.1,nc,nc73559260,2021-05-08T01:10:55.687Z,"18km NW of Truckee, CA",earthquake,0.31,1.19,0.21,13,automatic,nc,nc
2021-04-26T12:37:11.860Z,39.1235,-120.031,6.39,3.23,ml,28,66,0.1119,0.1,nc,nc73554845,2021-04-27T19:04:39.709Z,"9km SE of Dollar Point, CA",earthquake,0.19,0.64,0.181,45,reviewed,nc,nc
2021-04-11T03:42:00.619Z,28.3401,-103.3944,10,3.2,ml,,104,1.018,0.7,us,us6000e0qk,2021-05-06T22:30:23.040Z,"50 km NE of Hércules, Mexico",earthquake,1.6,2,0.115,20,reviewed,us,us
2021-04-23T05:00:38.386Z,38.1536,-117.8909,8.8,3.2,ml,27,41.39,0.015,0.1199,nn,nn00805580,2021-04-25T14:10:21.517Z,Nevada,earthquake,,0.6,0.25,12,reviewed,nn,nn
2021-04-26T22:46:49.369Z,31.66201527,-104.3019408,7.262719727,3.2,ml,36,58,0.11227602,0.3,tx,tx2021idvz,2021-04-28T04:50:33.040Z,"57 km S of Whites City, New Mexico",earthquake,0.761189124,1.322762031,0.1,19,reviewed,tx,tx
2021-04-28T01:30:27.606Z,38.1675,-117.8373,8.3,3.2,ml,27,50.63,0.028,0.1476,nn,nn00805995,2021-04-28T12:37:14.158Z,"34 km SE of Mina, Nevada",earthquake,,0.7,0.2,12,reviewed,nn,nn
2021-04-30T10:15:30.983Z,32.11761475,-102.1385528,7.018513997,3.2,ml,48,55,0.02689263,0.3,tx,tx2021ikfd,2021-05-01T00:06:45.285Z,western Texas,earthquake,1.26360561,0.641192266,0.1,21,reviewed,tx,tx
2021-05-08T11:04:43.522Z,38.6894,-97.0353,6.25,3.2,mb_lg,,90,0.528,0.28,us,us7000e1b1,2021-05-08T14:41:52.185Z,"3 km E of Hope, Kansas",earthquake,3.5,7.7,0.038,181,reviewed,us,us
2021-05-08T17:04:55.583Z,38.7069,-97.0326,2.79,3.2,mb_lg,,112,0.513,0.27,us,us7000e1dm,2021-05-08T17:25:43.416Z,"4 km ENE of Hope, Kansas",earthquake,3.3,3.3,0.042,154,reviewed,us,us
2021-04-29T17:12:19.480Z,35.653,-117.4393333,6.69,3.14,ml,45,41,0.06892,0.14,ci,ci39634983,2021-04-30T17:04:03.848Z,"13km SSW of Searles Valley, CA",earthquake,0.14,0.38,0.129,122,reviewed,ci,ci
2021-04-11T09:45:36.990Z,35.7846667,-117.603,6.61,3.13,ml,44,54,0.03133,0.13,ci,ci39846664,2021-04-25T11:31:51.040Z,"18km W of Searles Valley, CA",earthquake,0.12,0.31,0.116,175,reviewed,ci,ci
2021-04-09T00:33:47.080Z,33.9323333,-116.7873333,14.76,3.11,ml,145,17,0.01873,0.2,ci,ci39844112,2021-04-13T02:52:10.040Z,"2km N of Cabazon, CA",earthquake,0.11,0.22,0.14,271,reviewed,ci,ci
